id,codigo,titulo,descricao,subtitulo,objetivos,tipo,tipo_desafio,categoria,dificuldade,metodologia_id,pontos_base,pontos_recompensa,pontos_bonus,badge_id,criterios_conclusao,criterios_avaliacao,recursos_necessarios,prazo_dias,data_inicio,data_fim,dias_bonus_velocidade,imagem_url,icone,cor_tematica,ordem,ordem_exibicao,ativo,visivel_para,limite_participantes,total_participantes,total_concluintes,created_at,updated_at
03e4fb13-6f40-4dba-a05f-eddbb425388d,VIDEO-005,Duo com Colega ou Familiar,Toque junto com outra pessoa! Grave um duo ou ensemble. Trabalho em equipe!,,,performance,video,colaborativo,3,5122d3b5-3f1e-4cb0-bc9b-ff6e140a51a2,300,300,0,,"{""aula_requisito"": 18, ""tipo_evidencia"": ""video""}",,,21,,,,,,,30,,true,todos,,0,0,2025-10-28 01:00:50.854504+00,2025-10-28 01:00:50.854504+00
0cdcbaf3-294b-4ab4-9e65-c2c95f03c1eb,QUIZ-003,Intervalos Musicais,Teste seu conhecimento sobre intervalos musicais.,"Identifique segundas, terças, quartas e quintas.","[""Reconhecer intervalos musicais"",""Compreender distâncias entre notas""]",semanal,semanal,aprendizado,2,a5a5b85d-bace-4415-90bb-01c80cb1564c,150,150,0,,"{""questoes"": [{""opcoes"": [""1 tom"", ""1,5 tons"", ""2 tons"", ""2,5 tons""], ""correta"": 2, ""pergunta"": ""Quantos tons tem uma terça maior?"", ""explicacao"": ""Uma terça maior tem 2 tons (4 semitons). Exemplo: de Dó para Mi. A terça menor tem 1,5 tons (3 semitons).""}, {""opcoes"": [""Terça"", ""Quarta"", ""Quinta"", ""Sexta""], ""correta"": 2, ""pergunta"": ""Qual intervalo há entre Dó e Sol?"", ""explicacao"": ""De Dó a Sol temos uma quinta justa (5 notas: Dó, Ré, Mi, Fá, Sol). É um dos intervalos mais consonantes e importantes na música.""}, {""opcoes"": [""8"", ""10"", ""12"", ""14""], ""correta"": 2, ""pergunta"": ""Uma oitava equivale a quantos semitons?"", ""explicacao"": ""Uma oitava tem 12 semitons. É a distância de uma nota até a mesma nota em outra altura (ex: de Dó a Dó). Representa a frequência dobrada.""}], ""aula_requisito"": 4, ""minimo_acertos"": 2}",,,7,,,,,🎵,,3,3,true,todos,,1,0,2025-10-27 21:00:21.599587+00,2025-10-27 21:00:21.599587+00
10cfd6fb-82ca-4436-857a-5b1c6fb911a9,QUIZ-006,Dinâmica e Expressão Musical,"Sinais de dinâmica (piano, forte, crescendo), articulação e agógica.",,,quiz,quiz,teoria,2,a5a5b85d-bace-4415-90bb-01c80cb1564c,150,150,0,,"{""questoes"": [{""opcoes"": [""Tocar devagar"", ""Tocar suave/baixo"", ""Tocar rápido"", ""Tocar forte""], ""correta"": 1, ""pergunta"": ""O que significa \""piano\"" (p) em uma partitura?"", ""explicacao"": ""Piano (p) significa tocar suave, com volume baixo. Não confunda com velocidade! \""Pianissimo\"" (pp) é ainda mais suave.""}, {""opcoes"": [""Acelerar"", ""Aumentar volume gradualmente"", ""Tocar cada vez mais forte"", ""Pausa longa""], ""correta"": 1, ""pergunta"": ""O que é um \""crescendo\""?"", ""explicacao"": ""Crescendo (<) significa aumentar o volume gradualmente ao longo da passagem. O símbolo parece uma abertura à direita.""}, {""opcoes"": [""Lento"", ""Piano"", ""Staccato"", ""Legato""], ""correta"": 1, ""pergunta"": ""Qual é o oposto de \""forte\"" (f)?"", ""explicacao"": ""Piano (p) é o oposto de forte (f). Piano = suave/baixo, Forte = alto/forte. São extremos opostos de dinâmica (volume).""}], ""aula_requisito"": 10, ""minimo_acertos"": 2}",,,10,,,,,,,6,,true,todos,,0,0,2025-10-28 01:00:50.854504+00,2025-10-28 01:00:50.854504+00
125c877f-e47d-48e0-9f11-27a711102978,QUIZ-008,História da Música - Períodos,"Barroco, Clássico, Romântico: compositores, características e obras.",,,quiz,quiz,historia,3,28ff3697-1df2-48a6-a961-2f10054a3720,200,200,0,,"{""questoes"": [{""opcoes"": [""Clássico"", ""Romântico"", ""Renascimento"", ""Moderno""], ""correta"": 2, ""pergunta"": ""Qual período vem ANTES do Barroco?"", ""explicacao"": ""A ordem cronológica é: Medieval → Renascimento → Barroco → Clássico → Romântico → Moderno. O Renascimento (séc. XV-XVI) vem antes do Barroco (séc. XVII-XVIII).""}, {""opcoes"": [""Mozart"", ""Bach"", ""Beethoven"", ""Chopin""], ""correta"": 1, ""pergunta"": ""Qual compositor é do período Barroco?"", ""explicacao"": ""Johann Sebastian Bach (1685-1750) é o maior representante do Barroco. Mozart e Beethoven são do Clássico, Chopin é do Romântico.""}, {""opcoes"": [""Música religiosa"", ""Formas rígidas"", ""Expressão emocional intensa"", ""Polifonia complexa""], ""correta"": 2, ""pergunta"": ""Qual característica define o período Romântico?"", ""explicacao"": ""O Romantismo (séc. XIX) valoriza a expressão emocional, individualidade, nacionalismo e liberdade formal. Compositores: Chopin, Liszt, Wagner, Tchaikovsky.""}, {""opcoes"": [""Música muito ornamentada"", ""Equilíbrio e clareza"", ""Expressão extrema"", ""Música eletrônica""], ""correta"": 1, ""pergunta"": ""O período Clássico é conhecido por:"", ""explicacao"": ""O Classicismo (séc. XVIII - Mozart, Haydn) busca equilíbrio, clareza, formas bem definidas (sonata, sinfonia). Contrasta com o Barroco ornamentado e o Romântico emocional.""}, {""opcoes"": [""50 anos"", ""100 anos"", ""150 anos"", ""200 anos""], ""correta"": 2, ""pergunta"": ""Quantos anos durou aproximadamente o período Barroco?"", ""explicacao"": ""O Barroco durou aproximadamente 150 anos (1600-1750). Começa com Monteverdi e termina com a morte de Bach em 1750.""}], ""aula_requisito"": 15, ""minimo_acertos"": 3}",,,14,,,,,,,8,,true,todos,,0,0,2025-10-28 01:00:50.854504+00,2025-10-28 01:00:50.854504+00
15a35af6-94df-4b20-a3f9-40cc22c23f46,QUIZ-009,Classificação de Instrumentos,"Famílias de instrumentos: cordas, sopros, percussão, teclados. Reconheça timbres!",,,quiz,quiz,teoria,2,a5a5b85d-bace-4415-90bb-01c80cb1564c,150,150,0,,"{""questoes"": [{""opcoes"": [""Sopro"", ""Cordas"", ""Percussão"", ""Teclado""], ""correta"": 1, ""pergunta"": ""A qual família pertence o violino?"", ""explicacao"": ""O violino pertence à família das cordas (cordas friccionadas com arco). Outros: viola, violoncelo, contrabaixo. Todos têm 4 cordas e são tocados com arco.""}, {""opcoes"": [""Flauta"", ""Trompete"", ""Violão"", ""Clarinete""], ""correta"": 2, ""pergunta"": ""Qual NÃO é um instrumento de sopro?"", ""explicacao"": ""Violão é de cordas (cordas dedilhadas). Flauta, trompete e clarinete são de sopro. Sopros se dividem em: madeiras (flauta, clarinete) e metais (trompete, trombone).""}, {""opcoes"": [""Têm cordas"", ""São soprados"", ""São percutidos ou sacudidos"", ""Têm teclas""], ""correta"": 2, ""pergunta"": ""O que caracteriza os instrumentos de percussão?"", ""explicacao"": ""Percussão = instrumentos que produzem som ao serem batidos, sacudidos ou raspados. Exemplos: tambor, pandeiro, triângulo, xilofone, maracas.""}, {""opcoes"": [""Percussão"", ""Cordas"", ""Teclados"", ""Todas as anteriores""], ""correta"": 3, ""pergunta"": ""O piano pertence a qual família?"", ""explicacao"": ""O piano é híbrido! Tem teclado (interface), cordas (fonte sonora) e produz som por percussão (martelos batem nas cordas). Pode ser classificado nas três famílias.""}], ""aula_requisito"": 18, ""minimo_acertos"": 2}",,,10,,,,,,,9,,true,todos,,0,0,2025-10-28 01:00:50.854504+00,2025-10-28 01:00:50.854504+00
22f0a9f6-1cef-4ad0-ae4b-e131fc533571,ALPHA_2025,Desafio Alpha: Pioneiros da Música,"Bem-vindo ao Desafio Alpha! Como um dos nossos primeiros usuários, você tem a oportunidade única de conquistar a badge lendária ""Alpha Tester 🚀"" e 500 pontos de experiência. Complete 5 tarefas essenciais e um desafio bonus para se tornar um verdadeiro pioneiro. Esta é uma oportunidade que nunca mais estará disponível!",Seja um dos primeiros a explorar o Nipo School e ganhe recompensas exclusivas!,"[""Completar perfil com informações pessoais e preferências musicais"",""Assistir primeira aula completa do curso"",""Explorar pelo menos 5 instrumentos diferentes na biblioteca"",""Conhecer 3 compositores clássicos importantes"",""Completar um quiz com 70% de acerto ou mais"",""Compartilhar feedback para melhorar a plataforma""]",especial,especial,onboarding,3,28ff3697-1df2-48a6-a961-2f10054a3720,500,500,100,,"{""tarefas"": [{""id"": ""tarefa_1"", ""nome"": ""Perfil Completo"", ""tipo"": ""perfil"", ""icone"": ""👤"", ""pontos"": 100, ""condicoes"": {""nome_preenchido"": true, ""avatar_selecionado"": true, ""compositor_favorito_selecionado"": true, ""instrumento_preferido_selecionado"": true}, ""descricao"": ""Complete seu perfil com nome, avatar e preferências musicais"", ""obrigatoria"": true}, {""id"": ""tarefa_2"", ""nome"": ""Primeira Aula"", ""tipo"": ""aula"", ""icone"": ""📚"", ""pontos"": 100, ""condicoes"": {""aula_assistida"": true, ""tempo_minimo_visualizacao"": 300}, ""descricao"": ""Assista sua primeira aula completa em qualquer curso"", ""obrigatoria"": true}, {""id"": ""tarefa_3"", ""nome"": ""Explorar Instrumentos"", ""tipo"": ""exploracao"", ""icone"": ""🎸"", ""pontos"": 100, ""condicoes"": {""instrumentos_visitados"": 5, ""paginas_instrumentos_diferentes"": true}, ""descricao"": ""Visite a Biblioteca de Instrumentos e explore pelo menos 5 instrumentos diferentes"", ""obrigatoria"": true}, {""id"": ""tarefa_4"", ""nome"": ""Conhecer Compositores"", ""tipo"": ""exploracao"", ""icone"": ""🎼"", ""pontos"": 100, ""condicoes"": {""tempo_minimo_leitura"": 120, ""compositores_visitados"": 3}, ""descricao"": ""Explore a seção História da Música e leia sobre pelo menos 3 compositores diferentes"", ""obrigatoria"": true}, {""id"": ""tarefa_5"", ""nome"": ""Quiz Musical"", ""tipo"": ""quiz"", ""icone"": ""🎯"", ""pontos"": 100, ""condicoes"": {""quiz_completado"": true, ""percentual_minimo_acerto"": 70}, ""descricao"": ""Complete um quiz sobre história da música com pelo menos 70% de acerto"", ""obrigatoria"": true}, {""id"": ""tarefa_bonus"", ""nome"": ""Feedback Alpha"", ""tipo"": ""feedback"", ""icone"": ""💬"", ""pontos"": 100, ""condicoes"": {""feedback_enviado"": true, ""caracteres_minimos"": 50}, ""descricao"": ""Compartilhe sua experiência e sugestões para melhorarmos a plataforma"", ""obrigatoria"": false}], ""recompensas"": {""pontos_xp"": 500, ""badge_lendaria"": true, ""titulo_especial"": ""Pioneiro Alpha"", ""pontos_bonus_possivel"": 200}, ""pontos_total_base"": 500, ""mensagem_conclusao"": ""🎉 Parabéns, Pioneiro! Você completou o Desafio Alpha e conquistou a badge lendária Alpha Tester! Esta conquista é permanente e exclusiva."", ""pontos_tarefa_bonus"": 100, ""dias_bonus_velocidade"": 7, ""pontos_bonus_velocidade"": 100}","{""criterios"": [{""nome"": ""Completude"", ""peso"": 40, ""descricao"": ""Todas as tarefas obrigatórias foram completadas""}, {""nome"": ""Qualidade"", ""peso"": 30, ""descricao"": ""Tarefas completadas com atenção aos detalhes""}, {""nome"": ""Velocidade"", ""peso"": 30, ""descricao"": ""Desafio completado dentro do prazo bonus""}]}","{""opcionais"": [""Fones de ouvido para melhor experiência nas aulas"", ""Caderno para anotações""], ""necessarios"": [""Acesso à plataforma Nipo School"", ""Tempo estimado: 2-3 horas"", ""Conexão com internet"", ""Dispositivo compatível (desktop ou mobile)""]}",30,2025-10-27 16:46:06.477193+00,2025-11-26 16:46:06.477193+00,7,/images/desafios/alpha-challenge.png,🚀,#8B5CF6,1,1,true,todos,,1,0,2025-10-27 16:46:06.477193+00,2025-10-27 16:46:06.477193+00
2aefbb6d-cd8f-4f92-a816-0c39e0e718b1,AUDIO-007,Interprete um Trecho Erudito,Toque 30 segundos de uma obra clássica à sua escolha. Demonstre técnica e musicalidade!,,,pratico,audio,repertorio,4,8622a0d3-c389-47bf-a3a9-843bfcc293a2,300,300,0,,"{""aula_requisito"": 15, ""tipo_evidencia"": ""audio""}",,,21,,,,,,,17,,true,todos,,0,0,2025-10-28 01:00:50.854504+00,2025-10-28 01:00:50.854504+00
2cae10f6-dab8-45e0-9579-73c418341610,TEXTO-007,Reflexão Final: Sua Jornada Musical,"Escreva sobre sua evolução no curso: desafios superados, aprendizados, próximos passos.",,,reflexivo,texto,reflexao,3,a8a09c03-0771-4b2a-911b-8a357f312b63,300,300,0,,"{""aula_requisito"": 35, ""tipo_evidencia"": ""texto"", ""palavras_minimo"": 500}",,,30,,,,,,,40,,true,todos,,0,0,2025-10-28 01:00:50.854504+00,2025-10-28 01:00:50.854504+00
2f3d37b2-8a8f-468a-8ba2-cfb20acdeff6,AUDIO-001,Grave sua Escala de Dó Maior,Toque e grave a escala de Dó Maior (ascendente e descendente).,Atenção à afinação e ritmo regular. Duração: 30-120 segundos.,"[""Executar escala maior"",""Controlar afinação"",""Manter ritmo constante""]",semanal,semanal,pratica,1,8622a0d3-c389-47bf-a3a9-843bfcc293a2,150,150,0,,"{""tipo"": ""audio"", ""tarefas"": [{""id"": ""t1"", ""texto"": ""Gravar áudio da escala"", ""concluida"": false}, {""id"": ""t2"", ""texto"": ""Enviar para avaliação"", ""concluida"": false}], ""duracao_maxima"": 120, ""duracao_minima"": 30}",,,7,,,,,🎤,,11,11,true,todos,,0,0,2025-10-27 21:00:21.599587+00,2025-10-27 21:00:21.599587+00
38d637b8-1cd3-47e8-8b51-327e1b3d66da,AUDIO-014,Velocidade e Precisão,Toque uma escala em andamento rápido (120 BPM mínimo). Precisão em alta velocidade!,,,pratico,audio,tecnica,4,8622a0d3-c389-47bf-a3a9-843bfcc293a2,250,250,0,,"{""aula_requisito"": 28, ""tipo_evidencia"": ""audio""}",,,21,,,,,,,24,,true,todos,,0,0,2025-10-28 01:00:50.854504+00,2025-10-28 01:00:50.854504+00
3b022055-f164-42ee-8d4c-8d53f3dbf660,VIDEO-001,Apresentação Musical em Vídeo,Grave-se tocando e se apresentando.,Mostre sua postura e presença! Filme pelo menos 30 segundos.,"[""Demonstrar postura correta"",""Apresentar-se musicalmente"",""Desenvolver presença de palco""]",mensal,mensal,pratica,1,5122d3b5-3f1e-4cb0-bc9b-ff6e140a51a2,200,200,0,,"{""tipo"": ""video"", ""tarefas"": [{""id"": ""t1"", ""texto"": ""Preparar apresentação"", ""concluida"": false}, {""id"": ""t2"", ""texto"": ""Gravar vídeo"", ""concluida"": false}, {""id"": ""t3"", ""texto"": ""Enviar para avaliação"", ""concluida"": false}], ""duracao_minima"": 30}",,,14,,,,,📹,,21,21,true,todos,,0,0,2025-10-27 21:00:21.599587+00,2025-10-27 21:00:21.599587+00
3bde9cc9-89c0-404a-b66d-4d2ca6f721f2,AUDIO-006,Escala Cromática,Toque uma oitava cromática (12 semitons) com precisão. Desafio de técnica!,,,pratico,audio,tecnica,3,8622a0d3-c389-47bf-a3a9-843bfcc293a2,200,200,0,,"{""aula_requisito"": 10, ""tipo_evidencia"": ""audio""}",,,14,,,,,,,16,,true,todos,,0,0,2025-10-28 01:00:50.854504+00,2025-10-28 01:00:50.854504+00
3eaa54ce-d883-4340-ad2e-ae3d92e2879d,AUDIO-011,Controle de Dinâmica,Toque uma melodia simples alternando entre piano (suave) e forte. Demonstre controle!,,,pratico,audio,expressao,2,8622a0d3-c389-47bf-a3a9-843bfcc293a2,150,150,0,,"{""aula_requisito"": 13, ""tipo_evidencia"": ""audio""}",,,10,,,,,,,21,,true,todos,,0,0,2025-10-28 01:00:50.854504+00,2025-10-28 01:00:50.854504+00
3f5db3f2-5248-4812-9726-f433f54f4848,AUDIO-009,Acorde Quebrado de Dó Maior,"Toque as notas do acorde de Dó Maior em sequência (arpejo), subindo e descendo.",,,pratico,audio,tecnica,2,8622a0d3-c389-47bf-a3a9-843bfcc293a2,150,150,0,,"{""aula_requisito"": 11, ""tipo_evidencia"": ""audio""}",,,10,,,,,,,19,,true,todos,,0,0,2025-10-28 01:00:50.854504+00,2025-10-28 01:00:50.854504+00
4379056d-d446-4a1d-9fba-daed126e091f,AUDIO-004,Arpejo de Dó Maior,Toque o arpejo de Dó Maior (Dó-Mi-Sol-Dó).,Foque em clareza e afinação. Transições suaves entre as notas.,"[""Executar arpejo"",""Controlar transições"",""Demonstrar clareza""]",semanal,semanal,pratica,2,8622a0d3-c389-47bf-a3a9-843bfcc293a2,150,150,0,,"{""tipo"": ""audio"", ""tarefas"": [{""id"": ""t1"", ""texto"": ""Gravar arpejo"", ""concluida"": false}]}",,,7,,,,,🎶,,14,14,true,todos,,0,0,2025-10-27 21:00:21.599587+00,2025-10-27 21:00:21.599587+00
45a0deb8-fe6d-4b90-b7cc-ab9c9f6d4950,QUIZ-001,Teoria Musical Básica,"Quiz sobre fundamentos da música: notas, claves, figuras rítmicas.",Responda 3 questões de múltipla escolha. Mínimo 2 acertos para passar.,"[""Identificar elementos básicos da notação musical"",""Reconhecer figuras rítmicas"",""Compreender a pauta musical""]",semanal,semanal,onboarding,1,a5a5b85d-bace-4415-90bb-01c80cb1564c,100,100,0,,"{""questoes"": [{""opcoes"": [""3"", ""4"", ""5"", ""6""], ""correta"": 2, ""pergunta"": ""Quantas linhas tem uma pauta musical?"", ""explicacao"": ""Uma pauta musical tem 5 linhas e 4 espaços. As notas são escritas nas linhas e nos espaços, formando a base da notação musical ocidental.""}, {""opcoes"": [""Semibreve"", ""Mínima"", ""Semínima"", ""Colcheia""], ""correta"": 2, ""pergunta"": ""Qual figura vale 1 tempo?"", ""explicacao"": ""A semínima vale 1 tempo (1 batida). A semibreve vale 4 tempos, a mínima 2 tempos, e a colcheia 1/2 tempo (meio tempo).""}, {""opcoes"": [""5"", ""7"", ""8"", ""12""], ""correta"": 1, ""pergunta"": ""Quantas notas musicais existem?"", ""explicacao"": ""Existem 7 notas musicais naturais: Dó, Ré, Mi, Fá, Sol, Lá e Si. Com os acidentes (sustenidos e bemóis), temos 12 semitons na escala cromática, mas apenas 7 notas naturais.""}], ""aula_requisito"": 0, ""minimo_acertos"": 2, ""tempo_limite_minutos"": 15}",,,7,,,,,📝,,1,1,true,todos,,1,0,2025-10-27 21:00:21.599587+00,2025-10-27 21:00:21.599587+00
4a7efa31-c005-4d9c-9298-613a46b1634a,AUDIO-002,"Toque ""Parabéns pra Você""",Interprete a melodia clássica de aniversário.,Sua primeira música completa! Foque em fluidez e expressividade.,"[""Interpretar melodia simples"",""Demonstrar expressividade"",""Controlar dinâmica""]",semanal,semanal,pratica,1,8622a0d3-c389-47bf-a3a9-843bfcc293a2,150,150,0,,"{""tipo"": ""audio"", ""tarefas"": [{""id"": ""t1"", ""texto"": ""Praticar a melodia"", ""concluida"": false}, {""id"": ""t2"", ""texto"": ""Gravar performance"", ""concluida"": false}]}",,,7,,,,,🎂,,12,12,true,todos,,0,0,2025-10-27 21:00:21.599587+00,2025-10-27 21:00:21.599587+00
