id,nivel,nome,titulo_honorario,xp_minimo,xp_maximo,cor_badge,icone,descricao,beneficios_desbloqueados,requisitos_especiais,recompensa_desbloqueio,created_at
1084537f-2d87-4569-b186-f6e277c7370c,7,Mestre,Sensei Musical 🥋,12501,17500,#EF4444,🥋,Sabedoria e técnica! Você inspira outros a alcançar seu potencial.,"{""features"": [""perfil_mestre"", ""workshops_proprios"", ""mentorias_grupo"", ""avaliar_desafios""], ""pode_mentorar"": true, ""xp_bonus_mentoria"": 100, ""desafios_disponiveis"": [""todos_desafios"", ""desafios_mestres"", ""composicao""], ""pode_avaliar_desafios"": true, ""instrumentos_liberados"": ""todos"", ""limite_desafios_simultaneos"": 25}",,,2025-10-28 00:40:55.778038+00
1f2e1e54-e754-47e2-8c59-a288b2eaebba,5,Artista,Maestro Criativo 🎭,5001,8500,#EC4899,🎭,Sua criatividade brilha! Você pode mentorar iniciantes e liderar projetos.,"{""features"": [""mentoria_ativa"", ""liderar_projetos"", ""criar_desafios_simples"", ""badges_especiais""], ""pode_mentorar"": true, ""xp_bonus_mentoria"": 50, ""desafios_disponiveis"": [""todos_avancados"", ""desafios_autorais""], ""instrumentos_liberados"": 5, ""limite_desafios_simultaneos"": 15}",,,2025-10-28 00:40:55.778038+00
2aa5f250-d901-4eea-8773-3da5eead045f,8,Sensei,Iluminado Sonoro ✨,17501,23000,#A855F7,✨,Você transcendeu! Sua influência molda a comunidade Alpha.,"{""features"": [""perfil_sensei"", ""criar_metodologias"", ""eventos_especiais"", ""badge_exclusivo""], ""pode_mentorar"": true, ""xp_bonus_mentoria"": 150, ""pode_criar_desafios"": true, ""desafios_disponiveis"": [""todos_desafios"", ""desafios_lendarios""], ""pode_avaliar_desafios"": true, ""instrumentos_liberados"": ""todos"", ""limite_desafios_simultaneos"": 30}",,,2025-10-28 00:40:55.778038+00
33d84d44-8387-4e0e-b6f2-f4b3d7f94fbf,1,Iniciante,Explorador Musical 🎵,0,500,#10B981,🌱,Bem-vindo à jornada Alpha! Você está dando seus primeiros passos no mundo da música.,"{""features"": [""perfil_basico"", ""desafios_nivel_1"", ""feed_visualizacao""], ""desafios_disponiveis"": [""quiz_basico"", ""audio_simples""], ""limite_desafios_simultaneos"": 3}",,,2025-10-28 00:40:55.778038+00
52171422-66c4-4cef-b39b-71c76dbdfd58,3,Praticante,Mestre das Notas 🎹,1201,2500,#8B5CF6,🎵,Seu comprometimento está dando frutos! Hora de desafios mais complexos.,"{""features"": [""perfil_destaque"", ""mentorias"", ""projetos_simples"", ""ranking""], ""pode_mentorar"": false, ""desafios_disponiveis"": [""todos_basicos"", ""desafios_colaborativos""], ""instrumentos_liberados"": 2, ""limite_desafios_simultaneos"": 7}",,,2025-10-28 00:40:55.778038+00
c1ad6114-2d48-405c-879c-c6b7bd3d03b8,2,Aprendiz,Guardião dos Ritmos 🥁,501,1200,#3B82F6,🎼,Você está evoluindo! Continue praticando e explorando novos desafios.,"{""features"": [""perfil_completo"", ""desafios_nivel_2"", ""comentarios"", ""streak_sistema""], ""desafios_disponiveis"": [""quiz_basico"", ""quiz_intermediario"", ""audio_simples"", ""video_simples""], ""instrumentos_liberados"": 1, ""limite_desafios_simultaneos"": 5}",,,2025-10-28 00:40:55.778038+00
c34949c3-8a55-48a0-a546-7ee60a35327b,4,Músico,Artesão Sonoro 🎸,2501,5000,#F59E0B,🎸,Você domina os fundamentos! Agora pode guiar outros estudantes.,"{""features"": [""perfil_verificado"", ""criar_grupos"", ""projetos_colaborativos""], ""pode_mentorar"": false, ""desafios_disponiveis"": [""todos_intermediarios"", ""desafios_criativos""], ""instrumentos_liberados"": 3, ""limite_desafios_simultaneos"": 10}",,,2025-10-28 00:40:55.778038+00
cd164a52-1f7a-455d-9b04-c36061784ae4,9,Legend,Lenda Alpha 👑,23001,30000,#F97316,👑,Imortalizado na história Alpha! Você é exemplo vivo dos 8 pilares.,"{""features"": [""perfil_lendario"", ""todos_privilegios"", ""badge_dourado"", ""nome_hall_of_fame""], ""pode_mentorar"": true, ""xp_bonus_mentoria"": 200, ""pode_criar_desafios"": true, ""acesso_beta_features"": true, ""desafios_disponiveis"": [""acesso_total""], ""pode_avaliar_desafios"": true, ""instrumentos_liberados"": ""todos"", ""limite_desafios_simultaneos"": 50}",,,2025-10-28 00:40:55.778038+00
d1454290-253d-4e7f-8be6-7c2a2c5ba63e,6,Virtuoso,Guardião da Harmonia 🎺,8501,12500,#14B8A6,🎺,Excelência técnica e musical! Você é referência para a comunidade.,"{""features"": [""perfil_elite"", ""workshops"", ""gravacoes_estudio"", ""apresentacoes_destaque""], ""pode_mentorar"": true, ""xp_bonus_mentoria"": 75, ""desafios_disponiveis"": [""todos_desafios"", ""desafios_performance""], ""instrumentos_liberados"": ""todos"", ""limite_desafios_simultaneos"": 20}",,,2025-10-28 00:40:55.778038+00
ec17959b-e39d-4c93-b206-2e1d2b1c7f2a,10,Alpha Legend,Guardião Alpha Supremo 🎌,30001,999999,#DC2626,🎌,O nível máximo! Você incorpora perfeitamente a essência Alpha School.,"{""features"": [""todos_privilegios"", ""titulo_permanente"", ""badge_alpha_legend"", ""mentor_oficial""], ""pode_mentorar"": true, ""emblema_especial"": ""guardian_alpha_supreme"", ""pode_criar_badges"": true, ""xp_bonus_mentoria"": 300, ""pode_criar_desafios"": true, ""desafios_disponiveis"": [""acesso_total"", ""desafios_alpha_supremo""], ""acesso_admin_features"": true, ""pode_avaliar_desafios"": true, ""instrumentos_liberados"": ""todos"", ""limite_desafios_simultaneos"": 999}",,,2025-10-28 00:40:55.778038+00