id,aula_id,descricao,created_at,updated_at
040624b6-c250-4d89-a46f-742a69f24156,0beed730-fa51-467d-9805-9415149ba916,"Grave e poste no app um vídeo cantando ou tocando uma música de louvor, escreva na legenda o que ela representa para você e comente em dois vídeos de colegas.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
0b0cd42e-7679-4070-a4d8-f11c0ba7fe99,c23b8c68-a284-4c6d-82c8-8f54d00b3e00,"Grave um vídeo criando uma “música” só com sons do ambiente (cozinha, quarto, quintal), usando no mínimo 3 objetos diferentes. Poste no app até a próxima aula e comente no vídeo de ao menos 1 colega.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
21390dde-2d84-4c04-9ac1-8360ddacb9cc,ec18f04f-e44f-4a0f-97d1-bb4eadb3931a,Poste no app um trecho do ensaio geral e escreva sobre o que precisa melhorar. Comente no mínimo em dois colegas.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
2717df29-681e-40e6-ac77-dac5f244c04c,14e59217-40f5-4163-b724-e911314d213a,Poste no app um registro (áudio/vídeo) da música criada em grupo e comente em pelo menos uma música de outro grupo.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
3178fbc0-79c6-4dca-9d81-556829c1ac41,65e4f168-9b96-41e4-b0e7-a79d090fa7aa,"Grave um vídeo tocando um novo arranjo brasileiro em grupo, poste no app com legenda explicando a região/estilo e comente no vídeo de outro grupo.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
3705a18e-243a-4009-b851-aa48f391699b,053b763b-5606-42bc-b02a-a94364239a74,"No app, escreva um diário sobre o ensaio (pontos fortes/fracos) e compartilhe uma meta pessoal para a apresentação. Comente em dois colegas.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
39d1c333-f719-4b94-9b00-80a9fb534eb7,a7d5335f-94f1-4646-8bc4-cc0c4cd663ea,"No app, poste uma foto ou vídeo pessoal do show com uma mensagem de encerramento: o que mais aprendeu e o que deseja para o próximo ciclo.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
3e796f30-2aa4-4d84-bec3-61ecafd97a20,9ae951f2-e006-4afd-a07e-1ad588afcd09,"Grave um vídeo mostrando como afina seu instrumento, explique uma dica de manutenção no app e comente no vídeo de outro colega.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
444b4e20-e694-4fb1-ad2e-9d6fe141ec37,59d864ba-84ca-47e1-b31d-b5819021a986,"No app, poste um resumo da sua experiência na roda Alpha, com um ponto de evolução pessoal e uma meta para a apresentação final.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
44ccfcff-2e02-4c47-9d37-bbb19fefe250,2a1cd10b-89d2-45f0-a051-93cdf98bc888,"Poste no app um vídeo curto ensaiando ou apresentando sua música em dupla/banda, coloque o nome do grupo na legenda e comente em duas postagens de colegas.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
482d77e7-60f3-4cc0-8c73-a039ad7e0d80,eb103e6c-7aa9-43ab-8b2e-ac7dfcde918f,"Grave e poste no app um trecho da performance do seu grupo, legendando com o nome da música e função de cada integrante. Comente em pelo menos 2 grupos diferentes.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
51a6cec8-bc87-497e-bb09-b2dcf7708e23,923053d3-e54a-4698-9517-a46397c0584c,"Poste no app um vídeo do arranjo pop/TikTok criado em grupo, escreva o nome da música na legenda e comente em duas postagens de colegas.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
543cfc60-4476-4104-8d2a-688d6b94f755,86fcfcbc-59fb-4769-8435-8bc12d2ed432,"Grave um vídeo em casa criando um ritmo com sons do corpo (ou objetos domésticos), poste no app até a próxima aula e comente no vídeo de um colega.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
55469633-0f52-484b-81df-2129e5bc69f1,fe1d98e4-3a4c-4cd2-a68e-b5b3a8e2e51c,"Grave um trecho da apresentação do seu grupo, poste no app e comente em pelo menos 2 apresentações de outros grupos.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
5af79dbb-3a93-4d97-808a-c2a4314906a9,c368b564-6704-4c95-9d82-b2672babead5,"Grave um vídeo tocando uma progressão simples (ex: C – F – G – C), poste no app e comente em dois vídeos de colegas.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
5fa58120-517b-443b-97c2-15069fa86dda,57abf3d9-0c1a-4903-a518-81d88c4b7544,Poste no app um vídeo curto dizendo o que mais aprendeu até agora e o que deseja melhorar. Comente em dois vídeos de colegas.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
72d8e27b-07d8-4f15-b651-e3e7b4fe3ad2,b154f8a4-d7be-40b8-8bde-c64d409bde2b,"No app, poste uma apresentação rápida (texto, foto ou vídeo curto) contando seu objetivo musical no curso e comente em uma apresentação de colega.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
8331256d-f127-4203-a15d-afefbf676e8b,494c3d0d-692b-4509-b90b-b92bd1345eb1,"No app, poste uma mensagem ou vídeo de motivação para os colegas, destacando o que mais o anima para o show. Comente em três colegas.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
90a7198f-7007-4481-a46e-201924f15ec0,3d52bedb-3cb0-4ccc-86bf-6eddd4632364,"Poste no app uma criação experimental (vídeo/áudio), pode ser melodia, ritmo ou som inusitado, e comente em duas criações de colegas.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
922ba146-ac12-4cec-811b-f7e46a8751ee,f4ef0c67-c714-4152-a0c3-644d09d94d9d,Grave e poste no app um loop ou trecho musical feito no celular/tablet e comente em duas criações de colegas.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
96640f24-1395-4388-8da4-05f1e9c28e81,d5291adc-06b1-47d7-ba66-1735ec3c3a24,"Crie e poste no app um pequeno padrão rítmico (em vídeo ou escrito/fotografado), colaborando com um colega.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
bd3d1bed-c8a7-4c12-a7d4-4ffa94244f86,b9d6f98c-1f40-42de-b346-0c5e18eac1f5,"Grave um vídeo em grupo executando um jogo rítmico aprendido hoje (Jogo do Maestro, Ritmos em Roda, etc), poste no app com legenda explicando a dinâmica e comente em outro vídeo.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
cc30539d-709c-4adb-bc4a-4c2394f13c3d,37b53845-821a-4d7e-9b13-2598e34a42ff,"Grave um vídeo em casa segurando corretamente o instrumento e tirando o primeiro som (nota, acorde ou sequência simples). Comente no vídeo de outro colega com dica ou elogio.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
d3fddc4c-4817-4e01-9d6b-9b4d48cbdf2f,2b58068f-1294-44e2-b9b9-365ef995372d,"Escreva, fotografe ou grave uma leitura rítmica criada por você ou pelo grupo, envie pelo app e comente em outro desafio.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
d4d2760d-d065-47c2-adbd-fc05c1b9c7ab,1168d1e0-4f46-4970-876e-6dc5f2d1f21c,Grave e poste no app um vídeo cantando ou tocando uma música japonesa aprendida na aula. Escreva uma curiosidade cultural na legenda e comente em outro vídeo.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
d4dadc70-0371-4e62-bef8-16419760b14d,1e357f0c-44ee-4f3b-a39a-851d4f5220b6,"Grave áudio ou vídeo de uma melodia criada em grupo ou dupla, poste no app e comente no trabalho de outro grupo/colega.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
e53de43c-dad9-48a2-aa15-e37e6bc60f54,d5414bcb-4d76-4cb0-bf0a-8f166cca5b47,"Grave um vídeo tocando as notas/sons trabalhados na aula (sozinho ou em grupo), poste no app e comente em ao menos 1 vídeo de colega.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
f860550e-adb2-4201-801f-f51a029a5d54,5b8d46c4-0bed-4f6b-b743-615035679b6b,"Grave um vídeo tocando uma música do repertório brasileiro (grupo ou solo), poste no app e comente sobre o estilo ou dificuldade. Assista à versão profissional sugerida e comente as diferenças.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
fa39d093-76bf-4574-89ba-20e99b2699b7,1f48497c-d8e0-4a9b-b9d1-75b3df353047,"Grave uma improvisação de até 1 minuto (voz, instrumento ou sons do corpo), poste no app e comente em dois vídeos de colegas.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
fecd2336-4790-47f2-a969-d3305cbe3661,f925d0ab-4eb4-4502-aad5-5b617d0db260,"Poste no app um vídeo musical criado em grupo (com bastidores, se possível), escreva uma curiosidade na legenda e comente em dois vídeos de colegas.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00