id,titulo,titulo_original,compositor_id,periodo_id,ano_composicao,tipo_obra,genero,duracao_minutos,instrumentacao,tonalidade,opus_numero,descricao,contexto_criacao,estrutura_formal,analise_musical,significado_historico,audio_url,partitura_url,video_performance_url,nivel_dificuldade,popularidade,tags,ativo,created_at
040b0db1-2338-44e7-984c-bfa04e7f9ac8,Canon em Ré maior,,26f0c4d7-e0f6-4ba3-a360-574ddf65d2e6,d8c30e03-788e-4a90-970c-7585963b3949,1680,Câmara,Instrumental,5,"[""3 violinos"",""Baixo contínuo""]",Ré maior,,Uma das melodias mais populares da música clássica. Três violinos em canon sobre baixo ostinato.,,,Progressão harmônica I-V-vi-iii-IV-I-IV-V repetida 28 vezes. Variações canônicas aumentam em complexidade.,"Esquecida por séculos, tornou-se extremamente popular no século XX. Música favorita para casamentos.",https://www.youtube.com/watch?v=NlprozGcs80,,https://www.youtube.com/watch?v=hOA-2hl1Vbc,2,5,"[""barroco"",""pachelbel"",""canon"",""casamento"",""popular""]",true,2025-10-27 17:11:20.1946+00
10d0a4f6-0094-48b2-9a10-8e4eac935a1c,Tropicália,,aa7603a5-6982-4a13-b7ae-002e2f0ce8e3,480e5257-9aca-48e8-971f-f19794fc0dcf,1968,Tropicália,,4,,,,"Manifesto musical do movimento tropicalista. Mescla alegoria, crítica social, poesia concreta e sons experimentais. Guitarra elétrica encontra berimbau.",,,,,,,,,0,,true,2025-12-14 20:49:33.510717+00
2c68e3bb-4ab8-41c9-96e8-d1b2ff5c9ad7,A Criação,Die Schöpfung,6ab9f4fb-93a2-441a-a97f-ee974eef8838,f8ed8ab3-ef44-47e5-8a3f-80b4dd60f89a,1798,Oratório,Sacro,110,"[""Coro"",""Solistas"",""Orquestra""]",Dó maior,,Oratório que narra a criação do mundo conforme o Livro do Gênesis e o Paraíso Perdido de Milton.,Inspirado pelos oratórios de Handel que Haydn ouviu em Londres. Composto aos 66 anos.,,"Pintura musical da criação: ""Fiat Lux"" (que se faça a luz) com acorde radiante de Dó maior. Imitações da natureza.",Obra-prima do período clássico. Combina grandiosidade de Handel com clareza de Mozart.,https://www.youtube.com/watch?v=OMhY2866RWU,,https://www.youtube.com/watch?v=FqgCXxBT8T4,4,4,"[""classico"",""haydn"",""oratorio"",""sacro"",""criacao""]",true,2025-10-27 17:11:20.1946+00
3816a190-1f73-412a-8597-2ad59fe1a089,Sinfonia nº 40 em Sol menor,,9148c439-1fbe-45d0-beed-56e97f6cf026,f8ed8ab3-ef44-47e5-8a3f-80b4dd60f89a,1788,Sinfonia,Orquestral,33,"[""Orquestra""]",Sol menor,K. 550,Uma das sinfonias mais intensas e dramáticas de Mozart. Tema de abertura é um dos mais reconhecíveis da música clássica.,,,Único movimento em modo menor. Tensão dramática constante. Uso magistral de cromatismo e desenvolvimento temático.,"Uma das últimas três sinfonias de Mozart, todas compostas em apenas seis semanas.",https://www.youtube.com/watch?v=JTc1mDieQI8,,https://www.youtube.com/watch?v=aEkXet4WiLQ,4,5,"[""classico"",""mozart"",""sinfonia"",""menor"",""dramatica""]",true,2025-10-27 17:11:20.1946+00
44b449ff-b0c4-4bb3-8c5b-c474176711e4,Tank!,,e23ae30f-1410-4610-b30f-8f12fc8e8bdd,bf731274-4647-4e61-aa72-2ac8a0b3944c,1998,Trilha Sonora,,4,,,,Tema de abertura do anime Cowboy Bebop. Jazz fusion energético com big band. Uma das músicas de anime mais icônicas de todos os tempos.,,,,,,,,,0,,true,2025-12-14 20:49:33.510717+00
46b2ad7b-94b8-4b83-9ae9-d8b9f8b733f3,Messias,Messiah,01826610-9488-44c5-92c3-4edfd0470bee,d8c30e03-788e-4a90-970c-7585963b3949,1741,Oratório,Sacro,145,"[""Coro"",""Solistas"",""Orquestra barroca""]",Ré maior,HWV 56,"Oratório monumental baseado na vida de Jesus Cristo. O coro ""Aleluia"" é um dos mais famosos da música clássica.",Composto em apenas 24 dias em 1741. Estreou em Dublin em 1742 com grande sucesso.,,"Fusão perfeita de estilos italiano, alemão e inglês. O ""Aleluia"" demonstra contraponto magistral com 4 vozes independentes.","Uma das obras corais mais executadas do mundo. Tradição de público ficar de pé durante o ""Aleluia"".",https://www.youtube.com/watch?v=IUZEtVbJT5c,,https://www.youtube.com/watch?v=VI6dsMeABpU,4,5,"[""barroco"",""handel"",""oratorio"",""sacro"",""aleluia""]",true,2025-10-27 17:11:20.1946+00
4d618b49-aebe-4967-8b4b-683079e8fe58,Rokudan no Shirabe,,83c61d11-1558-4af3-b50d-4bc83f83a934,,1614,Instrumental,,10,,,,"Obra fundamental do repertório de koto. Estruturada em seis movimentos (dan), exemplifica o estilo danmono. Melodia contemplativa que explora as possibilidades técnicas do koto.",,,,,,,,,0,,true,2025-12-14 20:49:33.510717+00
5025c322-b9ca-4172-a746-d1e36a99bdcb,November Steps,,a3707aa4-7707-43de-bcd1-493e38f77dc6,,1967,Orquestral,,15,,,,Obra revolucionária que combina orquestra ocidental com biwa e shakuhachi tradicionais. Encomendada pela Filarmônica de Nova York. Marco da fusão entre Oriente e Ocidente.,,,,,,,,,0,,true,2025-12-14 20:49:33.510717+00
590c431d-7997-4118-9b1e-e35608d0a595,Carinhoso,,66697bd8-3ad7-4e00-82ef-4b35686d41b5,,1917,Choro,,4,,,,Choro-canção mais famoso do Brasil. Melodia inesquecível que virou símbolo da música brasileira. Gravado por inúmeros artistas em diferentes estilos.,,,,,,,,,0,,true,2025-12-14 20:49:33.510717+00
5c8bce2a-25fc-4e39-85d5-43ecad78ef74,Pequena Serenata Noturna,Eine kleine Nachtmusik,9148c439-1fbe-45d0-beed-56e97f6cf026,f8ed8ab3-ef44-47e5-8a3f-80b4dd60f89a,1787,Serenata,Câmara,17,"[""Cordas""]",Sol maior,K. 525,Uma das composições mais populares de Mozart. Elegância e perfeição do período clássico.,,,Perfeito exemplo da clareza clássica. Primeiro movimento com tema absolutamente memorável. Equilíbrio entre forma e expressão.,Símbolo do período clássico. Uma das obras mais executadas e gravadas.,https://www.youtube.com/watch?v=oy2zDJPIgwc,,https://www.youtube.com/watch?v=o1FSN8_pp_o,2,5,"[""classico"",""mozart"",""serenata"",""cordas"",""popular""]",true,2025-10-27 17:11:20.1946+00
6bc34ed0-b84b-42a8-b82f-9989dc9679a4,Concertos de Brandemburgo,Brandenburgische Konzerte,8d121f8d-363a-4825-9eca-d62553d1ea53,d8c30e03-788e-4a90-970c-7585963b3949,1721,Concerto Grosso,Barroca,90,"[""Violino"",""Viola"",""Violoncelo"",""Contrabaixo"",""Flauta"",""Oboé"",""Fagote"",""Trompete"",""Trompa"",""Cravo""]",Várias,BWV 1046-1051,Seis concertos que representam o ápice do concerto grosso barroco. Cada um explora formação instrumental diferente e criativa.,"Compostos enquanto Bach era Kapellmeister em Köthen (1717-1723), período em que tinha excelente orquestra à disposição. Em 1721, enviou cópias como presente ao Margrave Christian Ludwig de Brandemburgo-Schwedt, na esperança de conseguir cargo (nunca respondeu). Manuscrito original foi redescoberto apenas em 1849. Chamados Brandemburgo apenas no século XIX.","{""concerto_1"": ""4 movimentos, trompas proeminentes, violino piccolo"", ""concerto_2"": ""Trompete agudo virtuosístico, flauta doce, oboé, violino"", ""concerto_3"": ""3 violinos, 3 violas, 3 violoncelos (trio de trios)"", ""concerto_4"": ""Violino solista + 2 flautas doces"", ""concerto_5"": ""Primeiro concerto para cravo como solista (não apenas continuo)"", ""concerto_6"": ""Sem violinos: violas, violas da gamba, violoncelo""}","Representam variedade instrumental e maestria contrapontística de Bach. Concerto nº 5 é revolucionário por dar ao cravo papel solístico (longa cadência), antecipando concerto para piano. Cada concerto explora timbre e combinação instrumental únicos. Forma: alternância ritornello (tutti) e episódios (soli), típica do concerto barroco. Texturas densamente polifônicas.","Ápice do concerto grosso barroco. Influenciaram desenvolvimento do gênero até Beethoven. Concerto nº 5 especialmente importante como precursor do concerto para teclado. Esquecidos após morte de Bach, redescobertos no século XIX (movimento Bach Revival). Hoje são pilares do repertório barroco.",https://www.youtube.com/watch?v=3HSRIDtwsfM,"https://imslp.org/wiki/Brandenburg_Concertos,_BWV_1046-1051_(Bach,_Johann_Sebastian)",https://www.youtube.com/watch?v=3HSRIDtwsfM,4,95,"[""barroco"",""concerto"",""bach"",""orquestra"",""essencial""]",true,2025-10-09 02:54:37.69367+00
702e8c59-f843-4e8a-b734-fc31c0ee364a,Toccata e Fuga em Ré menor,,8d121f8d-363a-4825-9eca-d62553d1ea53,d8c30e03-788e-4a90-970c-7585963b3949,1704,Obra para órgão,Instrumental,10,"[""Órgão""]",Ré menor,BWV 565,Obra icônica para órgão. Abertura dramática seguida de fuga complexa. Frequentemente associada a filmes.,,,Abertura com acordes dramáticos descendentes. Fuga com tema cromático ascendente demonstra maestria contrapontística.,Uma das peças de órgão mais reconhecíveis. Símbolo da música barroca para órgão.,https://www.youtube.com/watch?v=ho9rZjlsyYY,,https://www.youtube.com/watch?v=Nnuq9PXbywA,5,5,"[""barroco"",""bach"",""orgao"",""fuga"",""iconica""]",true,2025-10-27 17:11:20.1946+00
74c71e35-6794-4dcf-aec2-377d5e1fa94d,Sinfonia nº 9 em Ré menor (Coral),Symphonie Nr. 9 d-Moll (Choral),37681c66-7ef1-4634-b268-fbc1be69e4c5,f8ed8ab3-ef44-47e5-8a3f-80b4dd60f89a,1824,Sinfonia Coral,Clássica/Romântica,70,"[""Flauta"",""Oboé"",""Clarinete"",""Fagote"",""Trompa"",""Trompete"",""Trombones"",""Tímpanos"",""Cordas"",""Soprano solo"",""Mezzo solo"",""Tenor solo"",""Baixo solo"",""Coro""]",Ré menor/Ré maior,Op. 125,"A última sinfonia completa de Beethoven, primeira a incluir vozes humanas (finale com Ode à Alegria de Schiller). Hino à fraternidade universal.","Composta 1822-1824, já completamente surdo. Última aparição pública de Beethoven (7/05/1824, Theater am Kärntnertor, Viena). Regeu mas maestro Michael Umlauf deu batidas reais. Ao final, Beethoven não ouviu aplausos; mezzo Caroline Unger teve que virá-lo para ver público em êxtase. Schiller escreveu Ode à Alegria (An die Freude, 1785); Beethoven queria musicá-la desde juventude.","{""texto"": ""Ode à Alegria de Friedrich Schiller (1785): Alegria, bela centelha divina... Abraçai-vos, milhões! Este beijo ao mundo inteiro! Todos os homens tornam-se irmãos..."", ""movimentos"": [{""forma"": ""Forma sonata"", ""tempo"": ""Allegro ma non troppo"", ""numero"": 1, ""descricao"": ""Drama titânico, luta prometeica"", ""tonalidade"": ""Ré menor""}, {""forma"": ""Scherzo e Trio"", ""tempo"": ""Molto vivace (Scherzo)"", ""numero"": 2, ""descricao"": ""Scherzo gigantesco, rítmico, energia motórica"", ""tonalidade"": ""Ré menor""}, {""forma"": ""Tema com variações duplas"", ""tempo"": ""Adagio molto e cantabile"", ""numero"": 3, ""descricao"": ""Movimento lento de sublime beleza, profundamente lírico"", ""tonalidade"": ""Si bemol maior/Ré maior""}, {""forma"": ""Forma livre (recitativo + variações + fuga)"", ""tempo"": ""Presto - Allegro assai (Ode à Alegria)"", ""numero"": 4, ""descricao"": ""Recitativo de baixos recapitula movimentos anteriores, rejeitando-os. Tema da Alegria em Ré maior, variações corais culminando em dupla fuga"", ""tonalidade"": ""Ré maior""}]}","Revolucionária por incluir vozes no finale (primeira sinfonia a fazê-lo). Recitativo instrumental dos baixos rejeita temas anteriores antes de introduzir Alegria. Tema da Alegria é melodia folk-like simples, mas variações progridem em complexidade até dupla fuga monumental. Coro canta fraternidade universal em alemão (idioma vernáculo, não latim). Escala épica (70 minutos). Beethoven transcende forma sinfônica clássica.","Obra mais influente da história sinfônica. Estabeleceu paradigma: sinfonia como jornada espiritual do conflito à transcendência, usando vozes para expressar o inexprimível. Influenciou Berlioz, Liszt, Wagner (Gesamtkunstwerk), Mahler, Shostakovich. Ode à Alegria tornou-se hino da União Europeia (1985, versão instrumental). Hino à humanidade: executada na queda do Muro de Berlim (1989, Bernstein regeu com Ode à Liberdade). Símbolo de paz, fraternidade, esperança.",https://www.youtube.com/watch?v=t3217H8JppI,"https://imslp.org/wiki/Symphony_No.9,_Op.125_(Beethoven,_Ludwig_van)",https://www.youtube.com/watch?v=t3217H8JppI,5,100,"[""classico"",""romantico"",""sinfonia"",""beethoven"",""coral"",""essencial""]",true,2025-10-09 02:54:37.69367+00
7ea81159-e994-4596-8107-2f276bf4c5ce,As Quatro Estações,Le quattro stagioni,bb314e0e-90fb-409e-a57a-b190e71fce7c,d8c30e03-788e-4a90-970c-7585963b3949,1725,Concerto para Violino,Barroca Programática,45,"[""Violino solo"",""Cordas"",""Cravo""]",Várias,Op. 8 nº 1-4,"Quatro concertos para violino que descrevem musicalmente cada estação do ano, com ""programas"" escritos em sonetos (possivelmente pelo próprio Vivaldi).","Fazem parte de Il cimento dell'armonia e dell'invenzione (O Embate entre a Harmonia e a Invenção), coleção de 12 concertos publicada em Amsterdam (1725). Vivaldi estava no auge da fama, trabalhando no Ospedale della Pietà em Veneza. Os sonetos descrevem cenas: pássaros na primavera, tempestades no verão, caça no outono, frio no inverno.","{""verao"": {""efeitos"": ""Cuco (violino), vento (tremolo), trovão e relâmpagos (escalas rápidas)"", ""movimentos"": [""Allegro non molto: Calor sufocante, cuco"", ""Adagio: Tempestade se aproxima"", ""Presto: Tempestade violenta""]}, ""outono"": {""efeitos"": ""Cantos de caça (trompas imitadas), latidos de cães, tiro de espingarda"", ""movimentos"": [""Allegro: Celebração da colheita, dança"", ""Adagio: Bêbados dormem"", ""Allegro: Caçada""]}, ""inverno"": {""efeitos"": ""Tremolo de frio, escorregões no gelo (glissandi), vento cortante"", ""movimentos"": [""Allegro non molto: Tiritando de frio"", ""Largo: Chuva enquanto se está ao fogo"", ""Allegro: Andando no gelo, cair""]}, ""primavera"": {""efeitos"": ""Trinados de pássaros (violinos), trovão (tutti), latidos de cão (viola)"", ""movimentos"": [""Allegro: Chegada da primavera, pássaros cantam"", ""Largo: Pastor dorme com cão ao lado"", ""Allegro: Dança pastoral""]}}","Obra-prima da música programática barroca. Vivaldi usa técnicas descritivas: trinados para pássaros, tremolos para frio, escalas rápidas para tempestade. Ritornellos alternados com episódios solísticos virtuosísticos. Harmonia típica barroca (círculo de quintas, sequências). Forma: 3 movimentos (rápido-lento-rápido) em cada concerto.","Uma das obras mais populares da música clássica, especialmente a Primavera. Pioneira da música programática: música que conta história ou descreve cena (antecipa Berlioz, Liszt). Estabeleceu padrão do concerto barroco italiano. Influenciou Bach profundamente (transcreveu vários concertos de Vivaldi). Esquecida por 200 anos, redescoberta no século XX, hoje onipresente em filmes, comerciais, cultura popular.",https://www.youtube.com/watch?v=GRxofEmo3HA,"https://imslp.org/wiki/The_Four_Seasons,_Op.8_(Vivaldi,_Antonio)",https://www.youtube.com/watch?v=GRxofEmo3HA,4,100,"[""barroco"",""concerto"",""vivaldi"",""programatica"",""popular""]",true,2025-10-09 02:54:37.69367+00
8823fac9-0805-432b-bc73-6bd80bbe810a,Construção,,2d850638-b14d-4fb8-b987-d85c7892ea62,480e5257-9aca-48e8-971f-f19794fc0dcf,1971,MPB,,6,,,,Obra-prima da canção brasileira. Letra genial com todas as palavras terminadas em proparoxítonas. Denúncia social da vida do operário. Revolucionou a poesia na música.,,,,,,,,,0,,true,2025-12-14 20:49:33.510717+00
92466874-d67c-4ed8-9823-691eefd58d3a,Aquele Abraço,,3c106370-db4c-4b34-bfdf-2b995c954036,480e5257-9aca-48e8-971f-f19794fc0dcf,1969,MPB,,3,,,,Despedida do Brasil antes do exílio forçado pela ditadura. Celebra o Rio de Janeiro com ironia e afeto. Tornou-se hino carioca.,,,,,,,,,0,,true,2025-12-14 20:49:33.510717+00
9751545a-cfbd-4ecb-9d76-825a97f0cf6c,Travessia,,280b11e5-12eb-4b8e-9099-d4dff10fcc18,,1967,MPB,,4,,,,Canção de estreia de Milton Nascimento. Vencedora do II Festival Internacional da Canção. Voz e melodia que anunciam um dos maiores talentos da MPB.,,,,,,,,,0,,true,2025-12-14 20:49:33.510717+00
b80d8419-06da-45bd-9d16-715ee364c8cb,Tonari no Totoro - Tema Principal,,83e3fcb3-ef41-434e-96f3-179028ff2957,bf731274-4647-4e61-aa72-2ac8a0b3944c,1988,Trilha Sonora,,3,,,,Tema do filme Meu Amigo Totoro (Studio Ghibli). Melodia alegre e infantil que captura a magia da infância. Reconhecida mundialmente.,,,,,,,,,0,,true,2025-12-14 20:49:33.510717+00
be32fe7d-66b3-419d-949e-3c99ab466416,Garota de Ipanema (The Girl from Ipanema),,86b7ff25-1dbb-4827-b29c-3b7d3a4b8709,798ce272-a0af-40a3-97c5-11b83fe0addb,1962,Bossa Nova,,3,,,,Segunda música mais gravada da história (depois de Yesterday dos Beatles). Hino da bossa nova. Harmonias sofisticadas em melodia aparentemente simples.,,,,,,,,,0,,true,2025-12-14 20:49:33.510717+00
c8bcb1a0-50d6-4518-b1ee-0ed6e56e8a27,Il Guarany (Ópera),,3c501d98-c0ca-4032-8d4c-4528c1c6a930,b0bef9be-0afc-4319-a8fe-a117f44e2dc9,1870,Ópera,,180,,,,Ópera em quatro atos baseada no romance de José de Alencar. Estreou no Teatro alla Scala de Milão com grande sucesso. Temática indígena brasileira em formato operístico italiano.,,,,,,,,,0,,true,2025-12-14 20:49:33.510717+00
d3d07435-c338-48e4-be90-e8f4fd3eed32,Kōjō no Tsuki (Lua sobre Castelo em Ruínas),,9beb6a1a-96e6-4434-9e29-dad1417dade2,,1901,Canção,,3,,,,Canção melancólica sobre ruínas de castelos japoneses. Melodia que mescla escalas pentatônicas japonesas com harmonias ocidentais. Uma das canções mais amadas do Japão.,,,,,,,,,0,,true,2025-12-14 20:49:33.510717+00
d66e4480-8279-4c2c-9f67-624a3500358e,Ó Abre Alas,,8ac10d5e-503e-4a46-a976-f79e987686f3,b0bef9be-0afc-4319-a8fe-a117f44e2dc9,1899,Marchinha de Carnaval,,3,,,,Primeira marchinha de carnaval da história brasileira. Composta para o cordão carnavalesco Rosa de Ouro. Marco inaugural do carnaval carioca moderno.,,,,,,,,,0,,true,2025-12-14 20:49:33.510717+00
d99f7d68-da47-49a4-98ec-85d77e051304,Águas de Março,,86b7ff25-1dbb-4827-b29c-3b7d3a4b8709,798ce272-a0af-40a3-97c5-11b83fe0addb,1972,Canção,,4,,,,"Obra-prima de Tom Jobim. Letra que é poesia pura, enumerando imagens cotidianas. Melodia que sobe e desce como chuva. Eleita a melhor canção brasileira de todos os tempos.",,,,,,,,,0,,true,2025-12-14 20:49:33.510717+00
dcc03754-2d11-4bcf-b8cb-6ec3bcad024c,Sinfonia nº 5 em Dó menor,Symphonie Nr. 5 c-Moll,37681c66-7ef1-4634-b268-fbc1be69e4c5,f8ed8ab3-ef44-47e5-8a3f-80b4dd60f89a,1808,Sinfonia,Clássica,33,"[""Flauta"",""Oboé"",""Clarinete"",""Fagote"",""Trompa"",""Trompete"",""Tímpanos"",""Cordas""]",Dó menor/Dó maior,Op. 67,"A sinfonia mais famosa do mundo, reconhecida instantaneamente pelos 4 golpes iniciais (Ta-ta-ta-taaaa), tema do destino batendo à porta.","Composta entre 1804-1808, simultaneamente com Sinfonia nº 6 Pastoral. Período heróico de Beethoven, já completamente surdo mas criativo. Estreou em 22/12/1808 no Theater an der Wien (Viena), em concerto maratona de 4 horas (também estreou Pastoral, Fantasia Coral, Concerto nº 4). Público estava com frio, concerto foi caótico. Só depois reconhecida como obra-prima.","{""movimentos"": [{""forma"": ""Forma sonata"", ""tempo"": ""Allegro con brio"", ""numero"": 1, ""descricao"": ""Motivo de 4 notas (destino) permeia todo movimento"", ""tonalidade"": ""Dó menor""}, {""forma"": ""Tema com variações duplas"", ""tempo"": ""Andante con moto"", ""numero"": 2, ""descricao"": ""Dois temas alternados e variados, lírico e heróico"", ""tonalidade"": ""Lá bemol maior""}, {""forma"": ""Scherzo e Trio"", ""tempo"": ""Scherzo: Allegro"", ""numero"": 3, ""descricao"": ""Tema do destino em pizzicato misterioso, transição para finale sem pausa"", ""tonalidade"": ""Dó menor""}, {""forma"": ""Forma sonata"", ""tempo"": ""Allegro"", ""numero"": 4, ""descricao"": ""Triunfo da luz sobre escuridão, explosão C maior, piccolo e trombone pela 1ª vez em sinfonia"", ""tonalidade"": ""Dó maior""}], ""unidade_ciclica"": ""Motivo rítmico de 4 notas (curta-curta-curta-longa) aparece em todos movimentos, unificando obra""}","Revolucionária pela unidade temática: motivo rítmico inicial aparece transformado em todos os movimentos. Jornada do menor (escuridão, luta) ao maior (luz, triunfo). Transição do 3º ao 4º movimento sem pausa é inovação dramática. Uso de piccolo, trombones, contra-fagote no finale (primeira vez em sinfonia) para máximo impacto. Desenvolvimento temático obsessivo: Beethoven extrai máximo de material mínimo.","Símbolo do espírito heróico beethoveniano: triunfo sobre adversidade. Motivo de abertura tornou-se um dos mais reconhecidos da música, usado em cultura popular infinitamente. Na 2ª Guerra Mundial, motivo (• • • —) era código Morse para V (vitória), BBC usou como sinal. Influenciou todas as sinfonias posteriores (Brahms, Mahler). Estabeleceu narrativa dramática progressão escuridão→luz como arquétipo sinfônico romântico.",https://www.youtube.com/watch?v=_4IRMYuE1hI,"https://imslp.org/wiki/Symphony_No.5,_Op.67_(Beethoven,_Ludwig_van)",https://www.youtube.com/watch?v=_4IRMYuE1hI,4,100,"[""classico"",""sinfonia"",""beethoven"",""essencial"",""heroico""]",true,2025-10-09 02:54:37.69367+00
f12b0303-c69f-4298-a0f3-005a4b214bdc,Merry Christmas Mr. Lawrence,,6bdf2c72-6099-4fc5-9294-a887f79ac000,bf731274-4647-4e61-aa72-2ac8a0b3944c,1983,Trilha Sonora,,5,,,,Tema principal do filme homônimo. Melodia minimalista hipnótica que mescla tristeza e esperança. Uma das composições mais reconhecidas de Sakamoto.,,,,,,,,,0,,true,2025-12-14 20:49:33.510717+00
fff35441-1d53-4651-815c-fc92dac59a5b,O Cravo Bem Temperado,Das Wohltemperierte Klavier,8d121f8d-363a-4825-9eca-d62553d1ea53,d8c30e03-788e-4a90-970c-7585963b3949,1722,Coleção de Prelúdios e Fugas,Barroca para Teclado,150,"[""Cravo ou Piano""]",Todas as 24 tonalidades,BWV 846-893,"Dois livros (1722 e 1742), cada um com 24 pares prelúdio-fuga em todas as tonalidades maiores e menores. Bíblia do teclado.","Livro I composto em Köthen (1722), Livro II em Leipzig (1742). Objetivo: demonstrar viabilidade do temperamento igual (afinação que divide oitava em 12 semitons iguais), permitindo tocar em todas as tonalidades. Antes, afinações mesotônicas tornavam certas tonalidades (Dó# maior, Fá# menor) intocáveis. Bach provou que todas as 24 tonalidades eram musicalmente válidas.","{""estilos"": {""fugas"": ""Demonstram todos os recursos contrapontísticos: inversão, aumentação, diminuição, stretto, sujeito duplo/triplo, fuga espelho"", ""preludios"": ""Variedade enorme: alguns curtos e simples (C maior Livro I: arabescos), outros extensos e complexos""}, ""estrutura"": ""2 livros × 24 pares = 48 prelúdios + 48 fugas = 96 peças"", ""influencia"": ""Chopin, Liszt, Brahms, Shostakovich compuseram prelúdios e fugas inspirados"", ""organizacao"": ""Ordem cromática ascendente: Dó maior/menor, Dó#/Réb maior/menor, Ré maior/menor... até Si maior/menor""}",Enciclopédia do contraponto e afeto. Cada tonalidade tem caráter único. Fugas exploram todos os recursos técnicos imagináveis. Algumas fugas têm 2 ou 3 sujeitos simultâneos. Prelúdio C maior (Livro I) é um dos mais famosos: arabescos contínuos sobre baixo (inspirou Ave Maria de Gounod). Fuga C# menor (Livro I) tem 5 vozes. Obra didática mas também suprema arte.,"Bíblia do pianista/cravista. Todo estudante sério estuda WTC. Estabeleceu temperamento igual como padrão (hoje universal). Influenciou todos os compositores posteriores: Chopin (24 Prelúdios), Shostakovich (24 Prelúdios e Fugas), Hindemith (Ludus Tonalis). Demonstração definitiva da genialidade contrapontística de Bach. Glenn Gould gravou (1955, 1962) tornando-se lendário.",https://www.youtube.com/watch?v=qBVs8VBwhno,"https://imslp.org/wiki/The_Well-Tempered_Clavier_I,_BWV_846-869_(Bach,_Johann_Sebastian)",https://www.youtube.com/watch?v=qBVs8VBwhno,5,90,"[""barroco"",""bach"",""fuga"",""preludio"",""cravo"",""piano"",""essencial""]",true,2025-10-09 02:54:37.69367+00