id,titulo,periodo_id,nivel_dificuldade,tipo,pergunta,opcoes,explicacao,audio_url,imagem_url,tags,ativo,created_at
01b03b2a-c6c8-46c6-8702-6bd282a76c56,Gênero Romântico,e8ce8fcc-5d20-4557-be06-c908b975e141,2,multipla_escolha,Qual gênero musical combina orquestra com narrativa ou ideia extramusical?,"[{""id"": ""a"", ""texto"": ""Sinfonia"", ""correta"": false}, {""id"": ""b"", ""texto"": ""Concerto"", ""correta"": false}, {""id"": ""c"", ""texto"": ""Poema sinfônico"", ""correta"": true}, {""id"": ""d"", ""texto"": ""Sonata"", ""correta"": false}]","O poema sinfônico é música programática orquestral que ilustra uma história, paisagem ou ideia, desenvolvido por Liszt.",,,"[""romantico"",""generos"",""programatica""]",true,2025-10-26 04:41:04.989877+00
13a9a90f-78da-4f85-a901-dcb105a95dcd,Minimalismo,,2,multipla_escolha,Qual técnica é característica da música minimalista?,"[{""id"": ""a"", ""texto"": ""Dodecafonismo"", ""correta"": false}, {""id"": ""b"", ""texto"": ""Cromatismo extremo"", ""correta"": false}, {""id"": ""c"", ""texto"": ""Repetição de padrões"", ""correta"": true}, {""id"": ""d"", ""texto"": ""Rubato livre"", ""correta"": false}]","O minimalismo usa repetição de padrões simples com mudanças graduais, como em ""Music for 18 Musicians"" de Steve Reich.",,,"[""moderno"",""minimalismo"",""tecnica""]",true,2025-10-26 04:41:04.989877+00
31845a7f-1fd0-45ca-a530-a7969a39449a,Forma Musical Clássica,f8ed8ab3-ef44-47e5-8a3f-80b4dd60f89a,2,multipla_escolha,Qual é a estrutura típica do primeiro movimento de uma sinfonia clássica?,"[{""id"": ""a"", ""texto"": ""Tema e variações"", ""correta"": false}, {""id"": ""b"", ""texto"": ""Forma sonata"", ""correta"": true}, {""id"": ""c"", ""texto"": ""Rondó"", ""correta"": false}, {""id"": ""d"", ""texto"": ""Fuga"", ""correta"": false}]",A forma sonata (Exposição-Desenvolvimento-Recapitulação) é a estrutura padrão do primeiro movimento de sinfonias clássicas.,,,"[""classico"",""forma"",""teoria""]",true,2025-10-26 04:41:04.989877+00
5eec0365-dac8-4131-89af-26c007b17e6c,Tonalidade,f8ed8ab3-ef44-47e5-8a3f-80b4dd60f89a,2,multipla_escolha,Qual é a tonalidade relativa menor de Dó maior?,"[{""id"": ""a"", ""texto"": ""Ré menor"", ""correta"": false}, {""id"": ""b"", ""texto"": ""Lá menor"", ""correta"": true}, {""id"": ""c"", ""texto"": ""Mi menor"", ""correta"": false}, {""id"": ""d"", ""texto"": ""Sol menor"", ""correta"": false}]","Lá menor é a relativa menor de Dó maior (compartilham a mesma armadura de clave, sem acidentes).",,,"[""teoria"",""tonalidade"",""harmonia""]",true,2025-10-26 04:41:04.989877+00
68e9ceb9-a66e-4006-92be-77c7ee33dc81,Andamento,d8c30e03-788e-4a90-970c-7585963b3949,1,multipla_escolha,Qual termo indica tempo muito lento?,"[{""id"": ""a"", ""texto"": ""Presto"", ""correta"": false}, {""id"": ""b"", ""texto"": ""Adagio"", ""correta"": true}, {""id"": ""c"", ""texto"": ""Allegro"", ""correta"": false}, {""id"": ""d"", ""texto"": ""Vivace"", ""correta"": false}]","Adagio indica tempo lento e tranquilo. Presto é muito rápido, Allegro é rápido e alegre, Vivace é vivo e animado.",,,"[""teoria"",""andamento"",""basico""]",true,2025-10-26 04:41:04.989877+00
98adc19f-1ac0-4040-8d93-963b9a61a3cc,Tríade Clássica,f8ed8ab3-ef44-47e5-8a3f-80b4dd60f89a,1,multipla_escolha,Quem são os três grandes compositores do período Clássico?,"[{""id"": ""a"", ""texto"": ""Bach, Handel, Vivaldi"", ""correta"": false}, {""id"": ""b"", ""texto"": ""Haydn, Mozart, Beethoven"", ""correta"": true}, {""id"": ""c"", ""texto"": ""Chopin, Liszt, Schumann"", ""correta"": false}, {""id"": ""d"", ""texto"": ""Brahms, Wagner, Verdi"", ""correta"": false}]","Haydn, Mozart e Beethoven são conhecidos como a ""Tríade Clássica de Viena"", definindo o estilo do período.",,,"[""classico"",""compositores"",""historia""]",true,2025-10-26 04:41:04.989877+00
a44e8da1-902b-4ce3-9676-ab30e789f8be,Característica do Barroco,d8c30e03-788e-4a90-970c-7585963b3949,1,multipla_escolha,Qual dessas características é típica da música Barroca?,"[{""id"": ""a"", ""texto"": ""Forma sonata"", ""correta"": false}, {""id"": ""b"", ""texto"": ""Baixo contínuo"", ""correta"": true}, {""id"": ""c"", ""texto"": ""Atonalismo"", ""correta"": false}, {""id"": ""d"", ""texto"": ""Minimalismo"", ""correta"": false}]","O baixo contínuo é uma das características mais marcantes da música Barroca, fornecendo a base harmônica.",,,"[""barroco"",""teoria"",""caracteristicas""]",true,2025-10-26 03:54:07.846053+00
acd3b0ea-1ab8-42e1-82a7-506261290059,Dinâmica,e8ce8fcc-5d20-4557-be06-c908b975e141,1,multipla_escolha,"O que significa ""crescendo"" na música?","[{""id"": ""a"", ""texto"": ""Tocar mais rápido"", ""correta"": false}, {""id"": ""b"", ""texto"": ""Aumentar gradualmente o volume"", ""correta"": true}, {""id"": ""c"", ""texto"": ""Tocar mais lento"", ""correta"": false}, {""id"": ""d"", ""texto"": ""Diminuir o volume"", ""correta"": false}]","Crescendo (cresc.) indica aumento gradual de volume, recurso expressivo importante especialmente no Romantismo.",,,"[""teoria"",""dinamica"",""basico""]",true,2025-10-26 04:41:04.989877+00
bf3ea990-5492-45bc-a295-b4e669bed784,Textura Musical,f8ed8ab3-ef44-47e5-8a3f-80b4dd60f89a,3,multipla_escolha,Como se chama a textura onde várias linhas melódicas independentes soam simultaneamente?,"[{""id"": ""a"", ""texto"": ""Homofonia"", ""correta"": false}, {""id"": ""b"", ""texto"": ""Monofonia"", ""correta"": false}, {""id"": ""c"", ""texto"": ""Polifonia"", ""correta"": true}, {""id"": ""d"", ""texto"": ""Heterofonia"", ""correta"": false}]","Polifonia (ou contraponto) é a textura com múltiplas linhas melódicas independentes, característica de Bach e da música renascentista.",,,"[""teoria"",""textura"",""contraponto""]",true,2025-10-26 04:41:04.989877+00
c568e508-f1b7-474a-ab6d-d9af09eacb0f,Virtuosismo Romântico,e8ce8fcc-5d20-4557-be06-c908b975e141,1,multipla_escolha,Qual compositor romântico era conhecido como o maior virtuose do piano de sua época?,"[{""id"": ""a"", ""texto"": ""Franz Liszt"", ""correta"": true}, {""id"": ""b"", ""texto"": ""Robert Schumann"", ""correta"": false}, {""id"": ""c"", ""texto"": ""Felix Mendelssohn"", ""correta"": false}, {""id"": ""d"", ""texto"": ""Anton Bruckner"", ""correta"": false}]","Franz Liszt foi o maior virtuose do piano do século XIX, revolucionando a técnica pianística e criando o recital solo.",,,"[""romantico"",""piano"",""virtuosismo""]",true,2025-10-26 04:41:04.989877+00
cbb78a63-4382-49a2-ac04-43103a4a4001,Período de Mozart,f8ed8ab3-ef44-47e5-8a3f-80b4dd60f89a,1,multipla_escolha,Em qual período musical viveu Mozart?,"[{""id"": ""a"", ""texto"": ""Barroco"", ""correta"": false}, {""id"": ""b"", ""texto"": ""Clássico"", ""correta"": true}, {""id"": ""c"", ""texto"": ""Romântico"", ""correta"": false}, {""id"": ""d"", ""texto"": ""Moderno"", ""correta"": false}]",Mozart (1756-1791) é um dos maiores representantes do período Clássico.,,,"[""classico"",""compositores"",""mozart""]",true,2025-10-26 03:54:07.846053+00
d0b35742-2ede-4aa5-8300-351b41f9545e,Patronato Musical,f8ed8ab3-ef44-47e5-8a3f-80b4dd60f89a,2,multipla_escolha,Para qual família nobre Haydn trabalhou por quase 30 anos?,"[{""id"": ""a"", ""texto"": ""Habsburgos"", ""correta"": false}, {""id"": ""b"", ""texto"": ""Esterházy"", ""correta"": true}, {""id"": ""c"", ""texto"": ""Hohenzollern"", ""correta"": false}, {""id"": ""d"", ""texto"": ""Romanov"", ""correta"": false}]","Haydn serviu à família Esterházy de 1761 a 1790, compondo extensivamente para as atividades musicais da corte.",,,"[""classico"",""historia"",""haydn""]",true,2025-10-26 04:41:04.989877+00
d29198ce-4d35-4d47-9948-088ce1b8e11d,Compositor Barroco Alemão,d8c30e03-788e-4a90-970c-7585963b3949,1,multipla_escolha,"Qual compositor barroco alemão é conhecido como o ""mestre da fuga""?","[{""id"": ""a"", ""texto"": ""Handel"", ""correta"": false}, {""id"": ""b"", ""texto"": ""Bach"", ""correta"": true}, {""id"": ""c"", ""texto"": ""Vivaldi"", ""correta"": false}, {""id"": ""d"", ""texto"": ""Telemann"", ""correta"": false}]","J.S. Bach é considerado o mestre supremo do contraponto e da fuga, com obras como ""A Arte da Fuga"" e ""O Cravo Bem Temperado"".",,,"[""barroco"",""compositores"",""bach""]",true,2025-10-26 04:41:04.989877+00
d511b968-f281-4eb0-b73b-7c5909f5d007,Instrumento Barroco,d8c30e03-788e-4a90-970c-7585963b3949,2,multipla_escolha,Qual instrumento era o principal responsável pelo baixo contínuo na música barroca?,"[{""id"": ""a"", ""texto"": ""Violino"", ""correta"": false}, {""id"": ""b"", ""texto"": ""Flauta"", ""correta"": false}, {""id"": ""c"", ""texto"": ""Cravo"", ""correta"": true}, {""id"": ""d"", ""texto"": ""Oboé"", ""correta"": false}]","O cravo era o instrumento principal para realizar o baixo contínuo, improvisando harmonias sobre a linha de baixo cifrada.",,,"[""barroco"",""instrumentos"",""teoria""]",true,2025-10-26 04:41:04.989877+00
e01f3ced-71a9-4d8c-8cdc-f5d8a47cf02c,Impressionismo,,2,multipla_escolha,Qual compositor francês é considerado o pai do impressionismo musical?,"[{""id"": ""a"", ""texto"": ""Maurice Ravel"", ""correta"": false}, {""id"": ""b"", ""texto"": ""Claude Debussy"", ""correta"": true}, {""id"": ""c"", ""texto"": ""Erik Satie"", ""correta"": false}, {""id"": ""d"", ""texto"": ""Gabriel Fauré"", ""correta"": false}]","Debussy revolucionou a música com obras como ""Prélude à l'après-midi d'un faune"", usando escalas modais e harmonias inovadoras.",,,"[""moderno"",""impressionismo"",""debussy""]",true,2025-10-26 04:41:04.989877+00
faa0c25b-0ab9-4d10-85da-36f89e237f7b,Nacionalismo Musical,e8ce8fcc-5d20-4557-be06-c908b975e141,2,multipla_escolha,"Qual compositor russo é famoso pela obra ""Quadros de uma Exposição""?","[{""id"": ""a"", ""texto"": ""Tchaikovsky"", ""correta"": false}, {""id"": ""b"", ""texto"": ""Rimsky-Korsakov"", ""correta"": false}, {""id"": ""c"", ""texto"": ""Mussorgsky"", ""correta"": true}, {""id"": ""d"", ""texto"": ""Borodin"", ""correta"": false}]","Modest Mussorgsky compôs ""Quadros de uma Exposição"" originalmente para piano, depois orquestrada famosamente por Ravel.",,,"[""romantico"",""nacionalismo"",""russia""]",true,2025-10-26 04:41:04.989877+00
fc71c0e3-688a-4871-8211-924f3d0bf685,Balé Revolucionário,,2,multipla_escolha,Qual balé de Stravinsky causou escândalo em sua estreia em 1913?,"[{""id"": ""a"", ""texto"": ""O Pássaro de Fogo"", ""correta"": false}, {""id"": ""b"", ""texto"": ""Petrushka"", ""correta"": false}, {""id"": ""c"", ""texto"": ""A Sagração da Primavera"", ""correta"": true}, {""id"": ""d"", ""texto"": ""Pulcinella"", ""correta"": false}]","""A Sagração da Primavera"" causou tumulto em Paris por suas dissonâncias ousadas e ritmos primitivos violentos.",,,"[""moderno"",""stravinsky"",""bale""]",true,2025-10-26 04:41:04.989877+00
fd11c498-3d02-46de-8dd7-f176c0f02cad,Atonalidade,,3,multipla_escolha,Quem desenvolveu o método de composição dodecafônico?,"[{""id"": ""a"", ""texto"": ""Igor Stravinsky"", ""correta"": false}, {""id"": ""b"", ""texto"": ""Arnold Schoenberg"", ""correta"": true}, {""id"": ""c"", ""texto"": ""Béla Bartók"", ""correta"": false}, {""id"": ""d"", ""texto"": ""Anton Webern"", ""correta"": false}]","Schoenberg criou o serialismo dodecafônico na década de 1920, um método sistemático de organizar as 12 notas cromáticas.",,,"[""moderno"",""serialismo"",""schoenberg""]",true,2025-10-26 04:41:04.989877+00