id,titulo,artista,genero,instrumento_principal_id,nivel,modulo_sugerido_id,url_partitura,url_audio,url_playback,url_video_tutorial,cifra,letra,tempo_bpm,tonalidade,duracao_segundos,dificuldade_tecnica,tags,eh_dominio_publico,observacoes_professor,created_at,ativo
0b9b444a-d6c1-47d8-8de0-3962e6278f4a,Base Blues em E,Tradicional,blues,,intermediario,,,,,,,,80,E,,1,"[""blues"",""improvisacao"",""jam"",""criativo""]",false,Base perfeita para exercícios de improvisação em grupo,2025-09-22 13:35:34.411091,true
0de0385d-1721-42c4-b1c2-8fc72b5a2fc3,Wonderwall (Versão Acústica),Oasis,rock alternativo,,iniciante,,,,,,,,87,Em,,1,"[""rock"",""acustico"",""banda"",""covers""]",false,"Clássico para formação de bandas, acordes simples mas efetivos",2025-09-22 13:35:34.411091,true
10295820-ed21-4d14-b4b9-471e852a802c,Girl from Ipanema (Looped Version),Tom Jobim,bossa nova,,intermediario,,,,,,,,120,F,,1,"[""bossa nova"",""loop"",""tecnologia"",""gravacao""]",false,Ideal para ensinar técnicas de looping e gravação caseira com celular/tablet,2025-09-22 13:43:21.840062,true
145da4ba-42d3-4b3c-aa8d-52204d91be2f,Peixe Vivo,Tradicional,folclore,,iniciante,,,,,,C - F - G7 - C,Como pode um peixe vivo viver fora da água fria...,100,C,,1,"[""tradicional"",""roda"",""infantil""]",false,Perfeita para iniciação e rodas musicais,2025-09-22 13:27:16.165324,true
1beb5d4e-ee51-4816-b22b-62d68ee70202,Rude Cruz,Tradicional,hino,,intermediario,,,,,,C - F - G - Am,,80,C,,1,"[""hino"",""tradicional"",""cruz""]",false,Clássico para trabalhar harmonia simples,2025-09-22 13:28:39.735876,true
1cf81fb4-e0b8-418a-b98b-eed2538720f7,Despacito (Versão Acústica),Luis Fonsi,pop latino,,iniciante,,,,,,,,95,Bm,,1,"[""pop"",""tiktok"",""viral"",""arranjo""]",false,Música atual para trabalhar arranjos colaborativos e engajamento jovem,2025-09-22 13:35:34.411091,true
2cc93437-763a-4db0-9e0f-cacc6d1703e9,Despacito (Versão Acústica),Luis Fonsi,pop latino,,iniciante,,,,,,,,95,Bm,,1,"[""pop"",""tiktok"",""viral"",""arranjo""]",false,Música atual para trabalhar arranjos colaborativos e engajamento jovem,2025-09-22 13:43:21.840062,true
5862bb74-1b2c-46eb-a398-d5fa1af8f13c,Aquarela,Toquinho,MPB,,intermediario,,,,,,C - Am - F - G - C,Numa folha qualquer eu desenho um sol amarelo...,90,C,,1,"[""infantil"",""mpb"",""criatividade""]",false,Excelente para trabalhar criatividade e expressão,2025-09-22 13:27:16.165324,true
61f01ab0-0511-44e1-a880-ac4b6173a82d,Stand by Me,Ben E. King,soul/R&B,,iniciante,,,,,,,,121,G,,1,"[""soul"",""rb"",""banda"",""harmonia""]",false,Excelente para trabalhar harmonia em grupos pequenos,2025-09-22 13:35:34.411091,true
767afb97-b6da-4b66-9026-2bfcac80bffc,Heat Waves,Glass Animals,indie pop,,intermediario,,,,,,,,80,C,,1,"[""indie"",""tiktok"",""viral"",""eletronica""]",false,Hit do TikTok ideal para arranjos com elementos eletrônicos,2025-09-22 13:35:34.411091,true
80ce8857-3c16-4d84-be0d-dfe571116374,Sakura (Cherry Blossoms),Tradicional Japonesa,tradicional japonesa,,iniciante,,,,,,,,,,,1,"[""japao"",""pentatonica"",""cultural""]",false,"Melodia pentatônica, ideal para xilofones e flautas",2025-09-22 13:28:53.644206,true
8619d1f9-906f-4975-87f8-c685acee7946,Quão Grande é o Meu Deus,Chris Tomlin,gospel,,iniciante,,,,,,G - Em - C - D,,76,G,,1,"[""louvor"",""adoracao"",""internacional""]",false,Ideal para grupos de louvor iniciantes,2025-09-22 13:28:39.735876,true
8d858d7a-6757-4f5d-b3d9-3e04f4019c25,Heat Waves,Glass Animals,indie pop,,intermediario,,,,,,,,80,C,,1,"[""indie"",""tiktok"",""viral"",""eletronica""]",false,Hit do TikTok ideal para arranjos com elementos eletrônicos,2025-09-22 13:43:21.840062,true
91829d11-10ee-4649-87b2-2e854c2bc71e,Base Blues em E,Tradicional,blues,,intermediario,,,,,,,,80,E,,1,"[""blues"",""improvisacao"",""jam"",""criativo""]",false,Base perfeita para exercícios de improvisação em grupo,2025-09-22 13:43:21.840062,true
9431d964-eda5-4af5-ad0b-9e9b51c16c25,Girl from Ipanema (Looped Version),Tom Jobim,bossa nova,,intermediario,,,,,,,,120,F,,1,"[""bossa nova"",""loop"",""tecnologia"",""gravacao""]",false,Ideal para ensinar técnicas de looping e gravação caseira com celular/tablet,2025-09-22 13:35:34.411091,true
9f10d7f3-b9e8-4b16-8c27-3bdc1ef55add,Wonderwall (Versão Acústica),Oasis,rock alternativo,,iniciante,,,,,,,,87,Em,,1,"[""rock"",""acustico"",""banda"",""covers""]",false,"Clássico para formação de bandas, acordes simples mas efetivos",2025-09-22 13:43:21.840062,true
a46dfb04-5bc5-4f8f-9175-f7909f026096,Asa Branca,Luiz Gonzaga,baião,,iniciante,,,,,,G - C - D7 - G,"Quando olhei a terra ardendo, qual fogueira de São João...",120,G,,1,"[""nordeste"",""folclore"",""sanfona""]",false,Ideal para trabalhar ritmo sincopado e cultura nordestina,2025-09-22 13:27:16.165324,true
acc0b20e-2028-4226-b35d-52b773d50ce1,Kojo no Tsuki,Rentaro Taki,canção japonesa,,intermediario,,,,,,,,,,,1,"[""japao"",""lua"",""romantica""]",false,Bela melodia para trabalhar expressividade,2025-09-22 13:28:53.644206,true
f18be393-02b8-4dbd-bd2e-b0266f3a88ec,Stand by Me,Ben E. King,soul/R&B,,iniciante,,,,,,,,121,G,,1,"[""soul"",""rb"",""banda"",""harmonia""]",false,Excelente para trabalhar harmonia em grupos pequenos,2025-09-22 13:43:21.840062,true